선수명,상대명,상대종족,맵,결과,경기일자,비고
"면추가","키모야","T","3","win","2026-03-17","2026-02-26 (1경기)"
"깨림이","꼬니부깅","P","뷰","win","2026-03-17","2025-09-28 (1경기)"
"히댕","이루리","P","버미어","win","2026-03-17","2024-10-22 (3경기)"
"엄보리","김채이","P","라데온","win","2026-03-17","2026-03-03 (7경기)"
"금선","나린","Z","뷰","win","2026-03-17","2025-09-14 (2경기)"
"꼬니부깅","깨림이","T","0","lose","2026-03-17","2025-09-28 (1경기)"
"나린","예슬","P","라데온","win","2026-03-17","2024-11-20 (6경기)"
"려원님","하랑","P","버미어","win","2026-03-17","2024-10-22 (2경기)"
"유복실","이유란","Z","녹아웃","lose","2026-03-17","2026-01-29 (5경기)"
"빵리나","링고","P","네오실피드","win","2026-03-17","2026-03-03 (6경기)"
"다예","구보라","P","폴리포이드","win","2026-03-17","2025-10-08 (2경기)"
"허로아","요시","P","폴리포이드","win","2026-03-17","2025-09-14 (1경기)"
"이영호","조일장","Z","폴스타","win","2026-03-17","2025-10-02 (2경기)"
"하블리","또봉순","Z","폴리포이드","lose","2026-03-17","2025-09-28 (7경기)"
"연애인","링고","P","라데온","win","2026-03-17","2024-11-27 (2경기)"
"태영","설둥이","P","폴리포이드","lose","2026-03-17","2024-11-20 (5경기)"
"구보라","뿌리","P","라데온","win","2026-03-17","2024-11-08 (5경기)"
"하랑","려원님","T","버미어","lose","2026-03-17","2024-10-22 (2경기)"
"박재혁","유승곤","T","백","lose","2026-03-17","2024-12-20 (13경기)"
"이유란","유복실","P","녹아웃","win","2026-03-17","2026-01-29 (5경기)"
"김호성","박지호","P","녹아웃","win","2026-03-17","2025-12-01 (6경기)"
"링고","빵리나","P","네오실피드","lose","2026-03-17","2026-03-03 (6경기)"
"비재희","려원님","T","폴리포이드","win","2026-03-17","2026-02-07 (3경기)"
"최호선","송병구","P","폴스타","win","2026-03-17","2025-10-08 (1경기)"
"메옹","빵미유","Z","라데온","win","2026-03-17","2025-10-01 (5경기)"
"요시","허로아","T","폴리포이드","lose","2026-03-17","2025-09-14 (1경기)"
"우힝이","또봉순","Z","폴리포이드","lose","2026-03-17","2025-11-09 (4경기)"
"햇살","요닝","Z","뷰","win","2026-03-17","2025-10-02 (1경기)"
